"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"	"Annual"
1887	0	0	0	0	10	136	144	105	44	3	0	0	442
1888	0	0	0	10	0	59	223	72	1	1	0	0	366
1889	0	0	0	0	1	27	124	143	14	0	0	0	309
1890	0	0	0	0	1	61	190	79	4	0	0	0	335
1891	0	0	0	0	0	7	81	88	12	0	0	0	188
1892	0	0	0	0	0	18	120	112	16	0	0	0	266
1893	0	0	0	0	1	87	175	75	18	0	0	0	356
1894	0	0	0	0	4	24	135	116	9	0	0	0	288
1895	0	0	0	0	13	6	78	90	62	0	0	0	249
1896	0	0	0	0	13	60	163	146	19	0	0	0	401
1897	0	0	0	0	0	31	89	73	43	0	0	0	236
1898	0	0	0	0	0	66	139	162	15	0	0	0	382
1899	0	0	0	0	0	66	85	90	30	0	0	0	271
1900	0	0	0	0	4	116	119	113	29	0	0	0	381
1901	0	0	0	0	1	53	244	136	21	0	0	0	455
1902	0	0	0	0	0	52	86	133	10	0	0	0	281
1903	0	0	0	0	0	26	144	118	24	0	0	0	312
1904	0	0	0	0	0	3	71	96	3	0	0	0	173
1905	0	0	0	0	0	54	61	111	2	0	0	0	228
1906	0	0	0	0	1	33	60	92	14	0	0	0	200
1907	0	0	0	0	0	9	109	90	4	0	0	0	212
1908	0	0	0	0	0	19	120	65	37	2	0	0	243
1909	0	0	0	0	0	61	176	176	12	0	0	0	425
1910	0	0	0	0	2	60	200	121	33	0	0	0	416
1911	0	0	0	0	2	71	69	90	23	0	0	0	255
1912	0	0	0	0	0	11	65	64	6	0	0	0	146
1913	0	0	0	0	6	41	100	158	11	0	0	0	316
1914	0	0	0	0	0	34	120	98	15	0	0	0	267
1915	0	0	0	0	0	8	56	12	3	0	0	0	79
1916	0	0	0	0	0	43	150	67	7	0	0	0	267
1917	0	0	0	0	0	50	173	50	4	0	0	0	277
1918	0	0	0	0	0	125	86	81	5	0	0	0	297
1919	0	0	0	0	0	87	204	116	37	0	0	0	444
1920	0	0	0	0	1	22	132	82	13	0	0	0	250
1921	0	0	0	0	0	69	162	102	12	0	0	0	345
1922	0	0	0	0	1	105	128	199	26	1	0	0	460
1923	0	0	0	0	3	23	164	80	1	0	0	0	271
1924	0	0	0	0	0	58	122	125	14	0	0	0	319
1925	0	0	0	0	14	87	199	71	41	0	0	0	412
1926	0	0	0	0	0	46	93	118	8	4	0	0	269
1927	0	0	0	0	2	55	100	29	36	0	0	0	222
1928	0	0	0	0	7	9	106	87	10	0	0	0	219
1929	0	0	0	0	0	46	189	166	14	0	0	0	415
1930	0	0	0	0	2	66	187	118	6	0	0	0	379
1931	0	0	0	0	2	127	234	113	51	0	0	0	527
1932	0	0	0	0	9	49	220	166	10	0	0	0	454
1933	0	0	0	0	5	139	227	101	43	0	0	0	515
1934	0	0	0	0	26	75	280	184	5	2	0	0	572
1935	0	0	0	0	0	49	222	158	4	0	0	0	433
1936	0	0	0	0	8	147	272	173	39	0	0	0	639
1937	0	0	0	0	2	84	214	232	49	0	0	0	581
1938	0	0	0	0	4	45	160	199	16	0	0	0	424
1939	0	0	0	0	15	66	274	149	60	0	0	0	564
1940	0	0	0	0	15	143	250	146	45	0	0	0	599
1941	0	0	0	0	7	52	143	118	3	0	0	0	323
1942	0	0	0	0	6	33	164	95	4	1	0	0	303
1943	0	0	0	0	4	67	198	186	0	0	0	0	455
1944	0	0	0	0	2	48	132	179	6	0	0	0	367
1945	0	0	0	0	0	19	167	135	42	0	0	0	363
1946	0	0	0	0	0	82	189	137	9	0	0	0	417
1947	0	0	0	0	1	21	161	171	58	2	0	0	414
1948	0	0	0	0	10	56	169	126	52	0	0	0	413
1949	0	0	0	0	0	54	175	144	9	0	0	0	382
1950	0	0	0	0	0	70	75	45	23	0	0	0	213
1951	0	0	0	0	10	12	197	93	11	0	0	0	323
1952	0	0	0	0	0	136	181	135	39	0	0	0	491
1953	0	0	0	0	2	123	204	118	27	0	0	0	474
1954	0	0	0	1	10	124	308	160	32	4	0	0	639
1955	0	0	0	0	7	46	256	202	43	0	0	0	554
1956	0	0	0	0	1	151	171	93	42	3	0	0	461
1957	0	0	0	0	0	71	215	157	5	1	0	0	449
1958	0	0	0	0	24	101	115	212	53	2	0	0	507
1959	0	0	0	0	0	125	199	203	26	0	0	0	553
1960	0	0	0	0	1	91	194	172	72	0	0	0	530
1961	0	0	0	0	17	75	161	159	7	0	0	0	419
1962	0	0	0	0	5	44	129	134	4	0	0	0	316
1963	0	0	0	0	2	104	269	138	30	0	0	0	543
1964	0	0	0	0	37	64	284	120	14	0	0	0	519
1965	0	0	0	0	1	29	187	91	1	0	0	0	309
1966	0	0	0	0	12	79	314	116	14	0	0	0	535
1967	0	0	0	0	10	10	163	115	5	5	0	0	308
1968	0	0	0	0	0	109	197	103	3	0	0	0	412
1969	0	0	0	0	14	27	240	219	14	0	0	0	514
1970	0	0	0	0	6	82	201	208	14	0	0	0	511
1971	0	0	0	0	0	123	155	176	25	0	0	0	479
1972	0	0	0	0	1	92	158	139	9	0	0	0	399
1973	0	0	0	0	6	111	150	200	5	0	0	0	472
1974	0	0	0	0	18	120	235	60	17	0	0	0	450
1975	0	0	0	0	0	56	213	152	25	0	0	0	446
1976	0	0	0	0	0	63	243	118	20	0	0	0	444
1977	0	0	0	0	6	174	249	120	49	0	0	0	598
1978	0	0	0	0	9	121	225	117	69	0	0	0	541
1979	0	0	0	0	1	82	213	105	50	0	0	0	451
1980	0	0	0	0	0	147	271	159	35	0	0	0	612
1981	0	0	0	0	2	148	234	113	25	0	0	0	522
1982	0	0	0	0	0	5	159	180	16	0	0	0	360
1983	0	0	0	0	3	53	214	280	41	0	0	0	591
1984	0	0	0	0	10	53	239	180	33	0	0	0	515
1985	0	0	0	0	4	85	182	21	21	0	0	0	313
1986	0	0	0	0	1	107	175	106	0	0	0	0	389
1987	0	0	0	0	3	71	217	147	14	0	0	0	452
1988	0	0	0	0	13	178	205	180	21	0	0	0	597
1989	0	0	0	3	15	61	253	103	29	2	0	0	466
1990	0	0	0	0	5	129	142	124	80	0	0	0	480
1991	0	0	0	0	10	77	186	144	19	2	0	0	438
1992	0	0	0	1	5	38	95	83	23	0	0	0	245
1993	0	0	0	0	2	64	129	96	6	0	0	0	297
1994	0	0	0	0	10	134	156	153	42	0	0	0	495
1995	0	0	0	0	0	39	170	239	57	0	0	0	505
1996	0	0	0	0	18	80	2	127	27	0	0	0	254
1997	0	0	0	0	1	85	186	111	45	1	0	0	429
1998	0	0	0	0	12	51	243	186	96	0	0	0	588
1999	0	0	0	0	0	64	247	163	5	0	0	0	479
2000	0	0	0	0	0	97	303	247	71	3	0	0	721
2001	0	0	0	0	3	148	306	221	64	0	0	0	742
2002	0	0	0	0	19	200	340	154	46	0	0	0	759
2003	0	0	0	0	32	29	357	247	18	0	0	0	683
2004	0	0	0	0	24	47	165	101	28	0	0	0	365
2005	0	0	0	0	22	109	303	172	66	0	0	0	672
2006	0	0	0	0	37	198	319	220	4	1	0	0	779
2007	0	0	0	0	4	149	338	257	57	0	0	0	805
2008	0	0	0	0	10	79	293	146	5	0	0	0	533
2009	0	0	0	0	11	51	165	121	44	0	0	0	392
2010	0	0	0	0	14	121	236	214	31	9	0	0	625
2011	0	0	0	0	0	93	292	287	36	3	0	0	711
2012	0	0	0	3	18	239	334	218	56	0	0	0	868
2013	0	0	0	0	22	168	225	217	108	0	0	0	740
2014	0	0	0	0	9	66	219	147	33	0	0	0	474
2015	0	0	0	0	0	130	222	227	80	1	0	0	660
2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	0	0	0	18	744	9754	23815	17698	3403	53	0	0	55485
NA	0	0	0	0.13953488372093	5.76744186046512	75.6124031007752	184.612403100775	137.193798449612	26.3798449612403	0.410852713178295	0	0	430.116279069767
NA	0	0	0	10	37	239	357	287	108	9	0	0	868
NA	NA	NA	NA	1888	1964	2012	2003	2011	2013	2010	NA	NA	2012
NA	0	0	0	0	0	3	2	12	0	0	0	0	79
NA	NA	NA	NA	NA	NA	1904	1915	1915	NA	NA	NA	NA	1915
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	0	0	0	2.5	3	70.75	170.25	99.75	15.75	1	0	0	363
NA	0	0	0	0	3.5	48.1	118.4	106.5	25.3	0	0	0	301.8
NA	0	0	0	0	0.4	37	127.1	113.8	16	0.2	0	0	294.5
NA	0	0	0	0	0.9	49.2	115.5	81.8	12.4	0	0	0	259.8
NA	0	0	0	0	2.9	56.4	145	109.5	16.8	0.5	0	0	331.1
NA	0	0	0	0	8.6	92.4	235.3	162.1	32.2	0.2	0	0	530.8
NA	0	0	0	0	3	50.2	157.3	133.6	20.6	0.3	0	0	365
NA	0	0	0	0.1	5.5	98	204	154.5	35	1	0	0	498.1
NA	0	0	0	0	10.4	62.3	214.5	140.3	10.6	0.5	0	0	438.6
NA	0	0	0	0	4.1	108.9	211.2	134.6	30.4	0	0	0	489.2
NA	0	0	0	0.3	5.6	89	202	143.4	28	0.2	0	0	468.5
NA	0	0	0	0.1	5.8	72.9	171.7	154.9	39.1	0.6	0	0	445.1
NA	0	0	0	0	17.6	113.1	282.2	185.3	36.3	1	0	0	635.5
NA	0	0	0	0.6	9.8	139.2	258.4	219.2	62.6	0.8	0	0	690.6
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	0	0	0	0	13	95	226	169	34	0	0	0	537
